,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
greek_italiote_loutrophoros_iron_age_-400BCE_247,2.1693511535835475,2.4654757326155856,0.19653398464534322,0.02696206651939735,3.5748835652218447,-0.4863235998892379,-0.3748200036270125,-0.18344086361993364,-0.09332640480708575,-0.2290633968717284,-0.456302460903655,0.45497067709755235,-0.10062995682282733,0.0826884941477318,-0.006817946908852474,-0.3199754966292301,0.253400749477757,-0.12620816989742883,-0.15250040479287305,0.008354578322425116
greek_italiote_loutrophoros_iron_age_-400BCE_244,0.4868603224726252,-0.9090482424281956,1.8430422575815093,0.3635462374392374,2.676586769851233,-0.15297732070412695,-0.9499802189816716,0.4209634135529755,-1.0278057931504692,-0.09399335100731482,-0.008000416983096892,-0.24903081275527766,0.145662629277573,0.3673338029959423,-0.21058976976716764,0.2048961305572236,0.04093487990667405,-0.1368083275132689,-0.14981465448038134,0.13894153910273407
greek_italiote_loutrophoros_iron_age_-400BCE_245,0.42207717409233103,-0.87262600826568,1.268744274949694,0.9421160140151397,0.4607537984523767,0.6526238048867549,-0.1773089924226125,0.16138019655840619,-0.5051805277331111,-0.18163460621309824,1.0247703377896344,-0.49609641095320567,-0.34779483428374197,-0.12337520345344098,-0.05965432091968864,0.2543893544268787,-0.1450741579496907,0.11161508942236585,-0.298492730119582,0.043073418875940454
greek_italiote_loutrophoros_iron_age_-400BCE_243,1.5764945673455462,-1.3502579670898391,1.1872677656784005,0.33955707860562756,2.0278336026826063,-0.13342570122069405,0.2932719340472154,-0.35606641660104715,-0.27891609401553796,0.28165036900286916,-0.8378242468901461,0.6060865158367394,-0.006998983244347889,-0.1496537945007485,0.07880371031518069,0.1953500643017917,-0.023497380962703707,-0.10539259104328769,0.12244705319437504,-0.27130661854838917
greek_amphora_iron_age_-550BCE_4,-1.07691136821223,2.1722456601789695,1.4106004662693303,1.2415913236060712,-0.6757520102662035,0.6785911493888273,0.7789132588620635,0.675763901972307,-0.2759762234293801,0.04563219475974781,0.2264306289504895,0.20203627322459583,-0.23621524720787013,-0.017798137243068973,0.3153046929604985,0.041020498964129626,0.2248379542508511,-0.09995241137919259,-0.08170597017878353,0.21767670597179062
greek_amphora_iron_age_-350BCE_143,0.25960586671320884,-0.6529199694319289,1.850966450716612,-0.37772524431547205,-0.6990118961914762,-0.04495649338086538,1.1860512734235078,0.5396365802181924,0.5105601570277224,-0.41181200257901796,-0.37237932690405817,0.35811938320954173,0.009667675071911703,-0.5721142981097329,-0.4656791364649198,0.02405892654419739,0.026468424988580402,-0.23157292380344136,-0.0807291571411794,-0.2831780164513502
greek_amphora_iron_age_-450BCE_26,0.14939173005366768,1.1154886579940944,0.66239969700209,1.1631862351721631,-0.3050963443446445,-0.030882463690369566,0.033321662651463135,-0.34236992753790196,-0.6515063936259239,0.4382905788874709,0.4995309876821739,0.27250525150167,-0.07047811891345254,0.032846474577466235,-0.01864437676351896,0.3677953711252553,0.059981487764537614,0.29145578714713793,0.4033239180773223,-0.10403767089026986
greek_amphora_iron_age_-350BCE_142,-0.573242058169427,-0.5282531073281485,1.1822991679327775,0.9040898389307263,-0.6808771606434857,0.6716683591171234,0.783086923613724,0.375730705530586,0.09527099349275284,-0.32661643203278523,-0.34692631424217535,0.29268402524166426,0.3649526606285184,-0.47008673633717696,0.1401094488728204,-0.19383345365888463,0.06656091851547047,0.10643794700320414,-0.41367468249653494,0.060213750473802924
greek_amphora_iron_age_-350BCE_146,0.5496645941868948,0.4041789992271765,1.4842291252510789,0.5917978510482822,-0.6948310128372623,-0.07995415867117722,0.1256974249746638,0.4418254861387768,0.036282652104712654,-0.1636516425923385,0.05095095176056118,0.022246529890369016,0.24277344387960462,-0.16174875194454352,0.3453385640316516,0.3343202221903398,-0.047199508752131046,0.17519403564242061,-0.23694757310082032,0.25547923458983013
greek_amphora_iron_age_-550BCE_6,-0.16738256533789025,0.3616289118488899,1.2675550737298626,1.376846671526175,-0.5163183630700814,-0.20313508532555957,-0.14333498057610433,0.013831136965052386,-0.28232076062986444,-0.08288314443428604,0.29650911776434663,0.15106243520979887,0.03371672894850347,-0.3278067987917058,0.041141380394721316,-0.052288863154980866,0.13050267344662897,0.032808610789869824,0.35509911636993763,0.04999132459381941
