taxon	min_age	max_age
greek_loutrophoros_iron_age_-400BCE_285	2325.0	2375.0
greek_italiote_amphora_iron_age_-250BCE_286	2150.0	2250.0
greek_loutrophoros_iron_age_-600BCE_287	2500.0	2550.0
greek_loutrophoros_iron_age_-600BCE_288	2500.0	2550.0
greek_amphora_iron_age_-950BCE_290	2836.0	2865.0
greek_italiote_loutrophoros_iron_age_-350BCE_291	2250.0	2350.0
greek_italiote_loutrophoros_iron_age_-250BCE_292	2150.0	2250.0
greek_loutrophoros_iron_age_-350BCE_296	2250.0	2350.0
greek_amphora_iron_age_-900BCE_297	2825.0	2850.0
greek_hydria_iron_age_-550BCE_1002	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1003	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1004	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1005	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1006	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1007	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1008	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1009	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1010	2450.0	2525.0
greek_hydria_iron_age_-500BCE_1012	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1013	2400.0	2450.0
greek_hydria_iron_age_-500BCE_1014	2425.0	2475.0
greek_hydria_iron_age_-500BCE_1015	2396.0	2450.0
greek_hydria_iron_age_-500BCE_1016	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1017	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1018	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1019	2425.0	2475.0
greek_hydria_iron_age_-500BCE_1020	2400.0	2475.0
greek_hydria_iron_age_-450BCE_1021	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1022	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1023	2350.0	2400.0
greek_hydria_iron_age_-450BCE_1024	2375.0	2425.0
greek_hydria_iron_age_-450BCE_1025	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1026	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1027	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1028	2375.0	2425.0
greek_hydria_iron_age_-450BCE_1029	2375.0	2425.0
greek_hydria_iron_age_-450BCE_1030	2350.0	2400.0
greek_italiote_hydria_iron_age_-400BCE_1031	2250.0	2390.0
greek_italiote_hydria_iron_age_-400BCE_1032	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1033	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1034	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1035	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1036	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1037	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1038	2250.0	2390.0
greek_italiote_hydria_iron_age_-400BCE_1039	2250.0	2370.0
greek_italiote_hydria_iron_age_-400BCE_1040	2250.0	2390.0
greek_hydria_iron_age_-350BCE_1041	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1042	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1043	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1044	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1045	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1046	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1047	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1048	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1049	2250.0	2350.0
greek_hydria_iron_age_-350BCE_1050	2250.0	2350.0
greek_italiote_hydria_iron_age_-350BCE_1051	2250.0	2350.0
greek_italiote_hydria_iron_age_-350BCE_1052	2250.0	2325.0
greek_italiote_hydria_iron_age_-350BCE_1053	2270.0	2280.0
greek_italiote_hydria_iron_age_-350BCE_1054	2250.0	2350.0
greek_italiote_hydria_iron_age_-350BCE_1055	2250.0	2350.0
greek_italiote_hydria_iron_age_-350BCE_1056	2250.0	2310.0
greek_italiote_hydria_iron_age_-350BCE_1057	2250.0	2260.0
greek_italiote_hydria_iron_age_-350BCE_1058	2250.0	2325.0
greek_italiote_hydria_iron_age_-350BCE_1059	2250.0	2350.0
greek_italiote_hydria_iron_age_-350BCE_1060	2250.0	2350.0
greek_hydria_iron_age_-400BCE_1061	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1062	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1063	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1064	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1065	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1066	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1067	2325.0	2375.0
greek_hydria_iron_age_-400BCE_1068	2325.0	2375.0
